iso3,classification,line_code,status,note
DEU,ESA_REV,R06_H,no_official_forecast,as R06_E: no employer/household split in any reachable official forecast (D-S13-005)
DEU,ESA_REV,R06_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder R06 - R06_E - R06_H (imputed and supplementary contributions) is derived only
DEU,ESA_REV,R07,no_machine_readable_source,"no usable GG interest-receivable forecast: AMECO has no D.41 resources series (UYVG is subsidies); DSM publishes payable interest only; the OBR 'PS interest and dividend receipts' candidate (D-S7-003) mixes dividends and the PS perimeter into the line and measures outside every band — recorded, not applied; NI/PB forecast ledger therefore stays empty (§4.3)"
DEU,ESA_REV,R08,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,ESA_REV,R10,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,ESA_REV,TR,not_extended,"totals are envelopes (§6.1, D4): used in V15 only"
FRA,COFOG,GF01,no_official_forecast,"§7.9: GF01 total has no direct forecast source; strict ends at the last actual — maximum_extension carries the mandated GF01_7-growth proxy (grade D, coverage measured, residual_method recorded; D-S4-002)"
FRA,COFOG,GF01_X,no_official_forecast,never forecast by construction (D10); derived only
FRA,COFOG,GF02,source_blocked,identified source FRA_LPM_2030 (military programming law) is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
FRA,COFOG,GF03,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,COFOG,GF04,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,COFOG,GF04_5,no_official_forecast,D7: no institution publishes a projection of transport spending on the COFOG 04.5 concept; strict and maximum end at the last actual (D-S13-005)
FRA,COFOG,GF04_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder GF04 - GF04_5 is derived only
FRA,COFOG,GF05,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,COFOG,GF06,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,COFOG,GF08,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,COFOG,GF10,grade_below_strict,"AR pensions+LTC composite measured at 69% of GF10 (grade C: no official projection of family/housing/unemployment components) — no strict forecast; maximum_extension chains the AMECO D.62 proxy (to 2027) into the AR composite (to 2070) per D12, overlap divergence under the V16 threshold"
FRA,COFOG,GF10_5,no_official_forecast,"D7: no institution publishes a projection of unemployment benefits on the COFOG 10.5 concept (AMECO's UUTZ105 is the cyclical component of the deficit, not the line; the AR covers pensions, health, LTC, education only); strict and maximum end at the last actual (D-S13-005)"
FRA,COFOG,GF10_X,no_official_forecast,"never forecast by construction (D-S13-002, the D10 pattern): the remainder GF10 - GF10_2 - GF10_5 is derived only, so the GF10 identity stays exact in every published year"
FRA,COFOG,TE,not_extended,"totals are envelopes (§6.1, D4): the envelope constrains V15 but is not published as a stitched TE path"
FRA,ESA_EXP,E08,grade_below_strict,"AMECO UIGG0 is gross fixed capital formation (P.51G) only — one component of P.5 + NP; §7.8 single-component proxy, applied in maximum_extension to 2027 with the measured share; no official forecast of inventories/valuables/non-produced assets exists"
FRA,ESA_EXP,E09,grade_below_strict,"AMECO UKTGT (D.9 exactly) stops at the last actual; UKOG (other capital expenditure incl. capital transfers) is the forecast candidate — a superset proxy (§7.8), maximum_extension only where its measured share is in band"
FRA,ESA_EXP,TE_ESA,not_extended,"totals are envelopes (§6.1, D4): the same TE envelope constrains the ESA_EXP forecast sum in V15; not published as a stitched path"
FRA,ESA_REV,R01,source_blocked,identified source FRA_LPFP_PSTAB (prélèvements obligatoires) is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
FRA,ESA_REV,R02,source_blocked,identified source FRA_LPFP_PSTAB is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
FRA,ESA_REV,R02_A,source_blocked,identified source FRA_LPFP_PSTAB (excise duties are in the prélèvements obligatoires tables) is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
FRA,ESA_REV,R02_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder R02 - R02_A is derived only
FRA,ESA_REV,R03,source_blocked,identified source FRA_LPFP_PSTAB is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
FRA,ESA_REV,R04,source_blocked,identified source FRA_LPFP_PSTAB is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
FRA,ESA_REV,R05,grade_below_strict,AMECO UTKG covers 76% of the line (grade C) — no strict forecast; applied in maximum_extension as a §7.8 single-component proxy to 2027; D7 lists R05 as partial
FRA,ESA_REV,R06_E,no_official_forecast,no official forecast of employers' contributions separately: AMECO carries actual contributions in total (UTAG) and imputed (UTIG) but no employer/household split; the Steuerschätzung does not cover contributions; BMAS is GRV-only and PDF (OQ-5); strict and maximum end at the last actual (D-S13-005)
FRA,ESA_REV,R06_H,no_official_forecast,as R06_E: no employer/household split in any reachable official forecast (D-S13-005)
FRA,ESA_REV,R06_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder R06 - R06_E - R06_H (imputed and supplementary contributions) is derived only
FRA,ESA_REV,R07,no_machine_readable_source,"no usable GG interest-receivable forecast: AMECO has no D.41 resources series (UYVG is subsidies); DSM publishes payable interest only; the OBR 'PS interest and dividend receipts' candidate (D-S7-003) mixes dividends and the PS perimeter into the line and measures outside every band — recorded, not applied; NI/PB forecast ledger therefore stays empty (§4.3)"
FRA,ESA_REV,R08,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,ESA_REV,R10,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
FRA,ESA_REV,TR,not_extended,"totals are envelopes (§6.1, D4): used in V15 only"
GBR,COFOG,GF01,no_official_forecast,"§7.9: GF01 total has no direct forecast source; strict ends at the last actual — maximum_extension carries the mandated GF01_7-growth proxy (grade D, coverage measured, residual_method recorded; D-S4-002)"
GBR,COFOG,GF01_X,no_official_forecast,never forecast by construction (D10); derived only
GBR,COFOG,GF03,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,COFOG,GF04,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,COFOG,GF04_5,no_official_forecast,D7: no institution publishes a projection of transport spending on the COFOG 04.5 concept; strict and maximum end at the last actual (D-S13-005)
GBR,COFOG,GF04_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder GF04 - GF04_5 is derived only
GBR,COFOG,GF05,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,COFOG,GF06,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,COFOG,GF07,source_blocked,"FRS July 2025 (hand-retrieved, D-S7-001) is thematic — pensions, balance sheet, climate — and carries no long-term health projection; the FRS edition with functional long-term projections (2024, or 2026 if published) is not in hand and obr.uk remains challenge-blocked (OQ-6); strict ends at the last actual"
GBR,COFOG,GF08,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,COFOG,GF09,source_blocked,as GF07: no education long-term projection in the FRS July 2025 edition in hand (OQ-6); strict ends at the last actual
GBR,COFOG,GF10,grade_below_strict,"maximum_extension carries the AMECO D.62 dominant-component proxy to 2027 (grade C, §7.8); the EFO welfare-spending series was measured as a longer C-band candidate but its table starts at FY 2024-25, leaving no year in common with the GG anchor to measure §9.2 coverage on — recorded, not applied (D-S7-003)"
GBR,COFOG,GF10_2,source_blocked,"the only reachable old-age projection is EFO 4.9 State pension, whose table starts at FY 2024-25 — no year in common with the GG anchor, §9.2 coverage unmeasurable, recorded not applied (D-S13-002); the OBR historical database's pensioner-spending series ends 2022-23 and cannot bridge the gap; an FRS edition with long-term state-pension projections is the named ask (OQ-6 a)"
GBR,COFOG,GF10_5,no_official_forecast,"D7: no institution publishes a projection of unemployment benefits on the COFOG 10.5 concept (AMECO's UUTZ105 is the cyclical component of the deficit, not the line; the AR covers pensions, health, LTC, education only); strict and maximum end at the last actual (D-S13-005)"
GBR,COFOG,GF10_X,no_official_forecast,"never forecast by construction (D-S13-002, the D10 pattern): the remainder GF10 - GF10_2 - GF10_5 is derived only, so the GF10 identity stays exact in every published year"
GBR,COFOG,TE,not_extended,"totals are envelopes (§6.1, D4): the envelope constrains V15 but is not published as a stitched TE path"
GBR,ESA_EXP,E01,no_machine_readable_source,"AMECO publishes UK compensation of employees (UWCG) for 2026-27 only, with no history to measure §9.2 coverage on (OQ-4 pattern) — recorded, not applied; the EFO's economic breakdown (table 6.1) starts at FY 2025-26, same problem"
GBR,ESA_EXP,E02,no_machine_readable_source,as E01: AMECO UCTGI carries no UK history; EFO 6.1 procurement starts at FY 2025-26
GBR,ESA_EXP,E07,no_machine_readable_source,as E01: AMECO UUOG carries no UK history
GBR,ESA_EXP,E08,grade_below_strict,"AMECO UIGG0 is gross fixed capital formation (P.51G) only — one component of P.5 + NP; §7.8 single-component proxy, applied in maximum_extension to 2027 with the measured share; no official forecast of inventories/valuables/non-produced assets exists"
GBR,ESA_EXP,E09,grade_below_strict,"AMECO UKTGT (D.9 exactly) stops at the last actual; UKOG (other capital expenditure incl. capital transfers) is the forecast candidate — a superset proxy (§7.8), maximum_extension only where its measured share is in band"
GBR,ESA_EXP,TE_ESA,not_extended,"totals are envelopes (§6.1, D4): the same TE envelope constrains the ESA_EXP forecast sum in V15; not published as a stitched path"
GBR,ESA_REV,R02_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder R02 - R02_A is derived only
GBR,ESA_REV,R05,grade_below_strict,"OBR council tax + inheritance tax + licence fee composite measured at 79% of the line (C) — applied in maximum_extension to 2030; the remaining D.59/D.91 items have no forecast anywhere (D7 lists R05 as partial); AMECO UTKG (11%, D) recorded, not applied"
GBR,ESA_REV,R06_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder R06 - R06_E - R06_H (imputed and supplementary contributions) is derived only
GBR,ESA_REV,R07,no_machine_readable_source,"no usable GG interest-receivable forecast: AMECO has no D.41 resources series (UYVG is subsidies); DSM publishes payable interest only; the OBR 'PS interest and dividend receipts' candidate (D-S7-003) mixes dividends and the PS perimeter into the line and measures outside every band — recorded, not applied; NI/PB forecast ledger therefore stays empty (§4.3)"
GBR,ESA_REV,R08,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,ESA_REV,R09,no_machine_readable_source,AMECO publishes no UK UTOG/UROG history (OQ-4 pattern) and the EFO receipts tables do not separate P.11+P.12+P.131 sales (GOS and 'other receipts' are different concepts) — no measurable composite
GBR,ESA_REV,R10,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
GBR,ESA_REV,TR,not_extended,"totals are envelopes (§6.1, D4): used in V15 only"
USA,COFOG,GF05,structural_zero,structural zero (D20): BEA has no environmental-protection function; components in 04 and 06
USA,ESA_EXP,E04,structural_zero,structural zero (D20): Medicare and Medicaid are D.62 in the SNA presentation; D.632 = 0
USA,ESA_REV,R01,structural_zero,structural zero (D20): no value-added tax; D.211 = 0 in OECD T12
